	T5	T10	T15	T20	T25	T30	T35	T40
PF3D7_1314600	17	102	161	264	422	418	465	339
PF3D7_0621350	58	7	5	2	1	1	1	8
PF3D7_0209400	69	216	422	483	506	706	1649	1680
PF3D7_1142200	22	3	1	13	60	168	309	148
PF3D7_0507200	971	157	38	22	3	3	58	2074
PF3D7_0806000	187	661	1210	1798	1825	1636	2795	2840
PF3D7_1006800	16058	42178	39633	58438	29709	28806	36136	24594
PF3D7_0412000	512	127	56	255	1236	2024	5568	9695
PF3D7_0732200	0	1	0	0	2	1	1	0
PF3D7_0324800	19	13	10	8	5	3	9	51
PF3D7_1227500	2465	466	195	126	156	1289	9692	28291
PF3D7_0301800	19083	15908	4207	831	237	200	193	106
PF3D7_0920900	331	910	1429	1577	1377	1425	2649	2637
PF3D7_1443600	106	17	19	13	191	607	1248	2132
PF3D7_0415900	7466	32102	43047	83231	56385	48126	55685	49258
PF3D7_0214100	8450	11706	10322	13520	6684	5765	10608	19213
PF3D7_0726100	6599	15308	12278	7128	2717	1363	988	560
PF3D7_0717700	667	2078	3438	5756	3362	3394	6496	7271
PF3D7_1342200	40	36	15	43	427	960	1161	518
PF3D7_1400700	2	1	0	0	0	0	0	0
PF3D7_1322800	31	2	7	1	3	67	241	493
PF3D7_1477400	70	26	33	135	822	1320	2016	2139
PF3D7_1106700	313	492	894	1513	1339	1179	1949	2271
PF3D7_0621100	4916	572	204	210	110	152	738	5681
PF3D7_1040800	0	0	0	0	0	0	1	0
PF3D7_0909100	206	83	65	77	21	21	95	896
PF3D7_1342400	1225	4197	5041	7453	5211	6040	8229	8473
PF3D7_1028500	945	1776	2316	2257	1689	1355	2205	2697
PF3D7_1419100	1619	2556	3151	3172	2625	2171	2433	1550
PF3D7_1448500	5320	900	348	393	3035	7415	19468	36638
PF3D7_1125000	372	136	53	60	68	394	1848	5043
PF3D7_1468000	184	46	36	31	93	329	766	527
PF3D7_0500900	302	36	11	10	14	19	26	246
PF3D7_1207600	133	777	1300	1665	1861	1543	1918	946
PF3D7_0311400	1163	304	148	126	82	69	170	259
PF3D7_0722200	51188	5496	1130	562	113	199	217	22159
PF3D7_API02500	0	0	0	0	0	0	0	0
PF3D7_0515900	264	32	32	174	378	497	1078	2079
PF3D7_0319500	551	3113	3777	7786	4034	4057	7326	5871
PF3D7_1450000	1988	1164	1045	900	656	626	892	769
PF3D7_0300600	0	0	0	0	0	0	0	0
PF3D7_1443900	295	218	171	1200	3032	4173	6968	7028
PF3D7_1222800	15	11	14	20	25	92	174	131
PF3D7_1470100	157	90	310	1067	1790	2287	3745	3465
PF3D7_0519700	2724	4125	4778	4829	2970	2457	3924	5849
PF3D7_1469700	88	34	16	21	206	482	879	1074
PF3D7_1455700	631	121	61	51	78	741	3234	6301
PF3D7_1132100	0	4	3	3	11	6	9	6
PF3D7_0532200	53	29	53	107	71	132	237	397
PF3D7_0508700	1710	2873	3480	4540	3890	3382	5655	7615
PF3D7_1227400	1180	989	1231	1661	1548	1193	2410	5341
PF3D7_1126200	4069	15258	15094	32987	17855	17536	20874	21600
PF3D7_1242500	104	18	10	8	96	379	1454	1858
PF3D7_0806700	1333	5635	7347	7857	3643	4123	9051	9229
PF3D7_0911100	45710	7800	1701	507	143	222	199	538
PF3D7_0303500	818	210	125	151	952	2623	7703	12361
PF3D7_0422800	72	11	1	10	13	85	504	1297
PF3D7_0926300	1045	290	98	103	151	368	1001	762
PF3D7_1436400	61	85	101	269	416	416	625	552
PF3D7_1215600	178	20	14	18	76	278	830	1308
PF3D7_0808700	152	30	20	50	24	36	86	332
PF3D7_1444700	54	21	24	23	143	479	1226	1314
PF3D7_1209600	258	40	11	14	7	14	32	75
PF3D7_0523800	925	2058	3070	2269	782	498	1308	3116
PF3D7_1459700	146	91	150	132	329	865	2354	1335
PF3D7_1409000	149	682	1220	1678	1649	1352	1521	1246
PF3D7_1028900	2069	338	68	19	8	8	12	98
PF3D7_1447100	350	942	1273	1406	756	581	1032	1208
PF3D7_1366000	136	200	338	499	417	347	547	431
PF3D7_1026000	1652	4223	9288	14999	11012	8349	10090	6605
PF3D7_0919800	3510	3085	2424	1315	553	833	4243	11374
PF3D7_0205000	87	57	71	80	50	174	591	326
PF3D7_1354200	1809	477	544	898	1215	1107	1400	2376
PF3D7_1353200	9397	41033	41957	38268	4075	776	729	642
PF3D7_0700300	0	0	0	0	0	0	0	0
PF3D7_0610800	7229	16085	15786	22757	17357	18042	21055	9545
PF3D7_0914300	410	1719	2389	2636	2178	2124	2402	1235
PF3D7_1005200	10	6	5	9	7	1	9	35
PF3D7_0605000	14	14	7	13	118	334	666	404
PF3D7_0410900	145	587	1205	2032	1357	1653	2581	2042
PF3D7_1113700	40	195	389	489	408	473	990	951
PF3D7_1108800	2	18	16	29	10	9	26	39
PF3D7_1129400	486	3948	6454	9507	7401	6092	5650	2304
PF3D7_1215000	286	33	19	20	19	134	615	1324
PF3D7_0607000	10754	22545	26120	34807	26360	23441	31302	26258
PF3D7_0519600	375	912	1715	2583	2185	2134	3551	4265
PF3D7_1460600	3389	435	140	116	72	112	343	952
PF3D7_1321700	6117	17108	17116	23151	18006	18104	22018	19821
PF3D7_0820000	2150	6621	8360	11274	7873	7562	10207	7838
PF3D7_0623900	98	105	46	70	430	954	1796	1729
PF3D7_0311900	44	16	6	8	188	305	470	456
PF3D7_1372900	0	0	0	0	0	0	0	0
PF3D7_0905600	49	9	2	6	1	4	11	20
PF3D7_1437700	458	103	33	61	83	374	1903	4036
PF3D7_1307100	1769	4205	5340	6183	4238	3650	4637	2739
PF3D7_1110300	1168	1906	1880	2814	3131	2791	2261	1928
PF3D7_0532400	382	1416	5309	29411	19402	16338	18257	8187
PF3D7_0527500	7445	18311	14551	22969	21607	28996	35155	19984
PF3D7_0620600	156	167	209	234	175	166	201	244
PF3D7_1413400	271	80	49	43	270	771	2268	4534
PF3D7_1214700	15	29	87	90	107	132	270	358
PF3D7_1327000	129	638	1430	2212	2289	2115	3216	2027
PF3D7_0716300	1405	384	181	1467	7574	13607	32547	55496
PF3D7_1426600	813	200	49	42	29	356	2400	5228
PF3D7_0210400	12	11	1	23	236	355	767	927
PF3D7_0920800	1290	8018	8874	14944	8758	7407	5037	1487
PF3D7_1250000	447	1262	1656	2377	1881	1421	1918	1559
PF3D7_1009200	236	689	1009	1086	927	711	1006	508
PF3D7_0921900	1777	3912	4387	5653	4340	3441	4906	4097
PF3D7_1463300	68	23	9	14	150	492	1333	1617
PF3D7_0318400	94	24	15	33	16	28	82	69
PF3D7_1321100	10964	1187	266	125	47	106	388	11157
PF3D7_1361300	84	59	98	87	75	66	133	180
PF3D7_1252900	3708	2647	1317	299	108	107	138	147
PF3D7_1244800	584	3905	5135	8726	6308	5946	7186	4444
PF3D7_1020100	74	34	14	24	12	1	7	5
PF3D7_0622600	124	12	8	8	31	149	482	1009
PF3D7_0525000	148	293	370	944	1888	1030	897	624
PF3D7_0732500	2	1	0	0	2	0	0	1
PF3D7_1335300	30763	7355	1475	607	208	285	228	352
PF3D7_0207000	29443	4733	865	393	563	2256	9933	36962
PF3D7_0412300	37	25	36	97	140	196	433	798
PF3D7_1433400	12155	3482	6784	19939	20941	27925	43857	86637
PF3D7_1473600	47	153	222	496	943	1926	2294	691
PF3D7_1006900	149	578	518	824	614	773	1341	1946
PF3D7_1014800	57	26	9	13	8	23	84	136
PF3D7_1471900	302	1585	1829	2421	1604	1818	2906	2233
PF3D7_1026600	149430	44622	11094	4208	1581	1739	1690	1416
PF3D7_0107600	88	69	57	42	41	26	74	120
PF3D7_0922100	9556	19314	20203	21771	10026	10070	17198	14948
PF3D7_1471000	358	671	927	1209	1332	1007	890	366
PF3D7_1429200	90	86	87	116	117	241	516	344
PF3D7_0800100	1403	345	174	491	827	635	781	3014
PF3D7_1416400	267	309	175	157	57	39	57	66
PF3D7_0516200	3547	15967	19836	32778	23945	20095	23444	20775
PF3D7_1029600	1112	3547	4813	4902	4406	9507	21260	13686
PF3D7_0517100	73	103	71	156	552	724	1067	561
PF3D7_1125200	76	222	633	1640	2155	1604	1656	1000
PF3D7_1114800	197	34	22	8	6	10	45	331
PF3D7_0520800	419	299	501	1252	1650	2642	5586	7517
PF3D7_0805600	5721	2441	1364	1368	2090	2120	2197	2463
PF3D7_1320900	78	504	676	798	475	696	957	894
PF3D7_1242600	52	264	530	796	735	490	717	682
PF3D7_0313500	101	415	787	1188	1020	834	1151	981
PF3D7_1310700	54167	11827	1813	567	132	246	85	1046
PF3D7_1209900	207	54	25	84	597	955	2184	2727
PF3D7_1302400	13	8	12	13	7	3	15	14
PF3D7_1300100	2249	718	180	85	198	401	580	2012
PF3D7_1448000	994	3688	4906	6231	3877	3010	2913	1382
PF3D7_0614200	113	408	526	461	625	586	820	435
