	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
PF3D7_1314600	100	1009	112	62	19	13	40	20	90	137	27	48	1	51	5	2	32	34	15	1	37	34	210	4	38	1	4	45	124	3	128	6	66	11	2	22	398	27	7	3	414	15	35
PF3D7_0621350	1	0	0	0	0	6	0	2	0	0	0	0	0	3	0	0	6	4	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PF3D7_0209400	2169	3894	547	574	255	138	319	468	725	889	159	182	60	921	102	1	419	304	446	142	140	427	1348	159	277	18	99	104	722	80	395	84	468	299	116	104	1300	374	144	47	2698	138	478
PF3D7_1142200	9	30	1	5	2	10	0	5	11	7	1	2	1	0	3	0	16	14	2	0	1	3	7	7	19	1	5	12	12	3	33	9	27	2	2	11	228	2	1	0	5	6	4
PF3D7_0507200	35	71	46	14	66	48	6	52	48	18	1	11	2	8	79	29	67	519	38	3	4	12	14	10	1	19	21	1	128	20	10	5	11	5	23	2	6	28	13	9	13	17	2
PF3D7_0806000	332	1248	102	108	36	28	62	35	100	185	24	78	4	75	26	8	74	39	23	4	172	67	81	2	186	10	2	217	468	7	288	76	332	29	6	113	1548	38	6	4	318	31	15
PF3D7_1006800	16069	31368	5795	4922	3151	4515	1551	8745	8249	10449	393	843	2698	10084	1318	2408	9042	13854	7742	515	1252	1788	16826	12739	1718	3470	4635	1731	3672	1414	1986	474	1810	3881	526	721	11530	5905	800	144	15195	3518	9713
PF3D7_0412000	19	19	5	4	12	19	7	13	10	16	7	44	0	0	30	6	39	82	16	5	27	21	11	0	34	9	7	11	120	14	67	10	7	0	4	26	134	8	10	3	0	31	0
PF3D7_0732200	9	9	5	3	0	1	0	4	3	2	3	8	0	3	2	0	6	8	5	0	37	5	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	3	4
PF3D7_0324800	20	39	22	1	5	6	0	3	2	3	1	23	0	1	0	0	1	1	10	2	0	2	1	3	1	1	14	1	2	3	4	0	0	0	3	0	0	8	3	0	3	5	0
PF3D7_1227500	55	75	46	19	17	18	8	38	41	42	8	14	1	2	66	10	89	153	27	4	5	15	19	4	5	14	10	1	96	25	11	3	14	2	20	3	28	20	33	3	5	35	1
PF3D7_0301800	18748	22990	11329	5475	6815	12157	1152	34664	17179	15411	606	1159	10055	13846	2400	8260	23043	35026	20724	1826	467	4517	23172	30838	642	13915	15000	52	440	7933	161	1257	8	11490	2415	1733	92	23597	3762	885	19337	13149	42855
PF3D7_0920900	1443	3022	427	534	201	255	268	590	704	759	140	196	89	1099	102	18	722	1180	458	65	138	340	1512	201	187	111	447	254	548	41	454	70	425	375	73	119	1820	650	216	42	2613	139	737
PF3D7_1443600	19	46	19	7	6	9	6	11	19	9	2	6	2	5	15	3	27	48	3	1	2	6	15	0	3	5	5	2	30	6	16	3	2	1	6	1	44	3	5	0	5	17	0
PF3D7_0415900	21368	65683	9154	7756	4453	3349	4030	7369	10266	19589	1820	3945	1526	12311	1449	591	7000	11360	7042	1078	3108	4836	21147	5775	5646	1596	3545	6778	15440	1208	5014	1221	10586	4545	1052	1829	34727	8187	1187	413	25054	2149	11526
PF3D7_0214100	8656	15030	22920	4349	3095	6915	1904	8116	9444	7164	838	2473	2806	7055	1260	3377	5407	22180	17060	1032	533	3441	6496	6740	847	3361	4568	760	3175	2097	1696	790	3261	4037	1941	1048	4409	7888	2374	775	5698	2869	8530
PF3D7_0726100	28489	42245	14546	8699	5360	9578	3144	18692	20974	23369	1401	2406	4571	22855	2823	1889	15455	18667	18362	1882	1074	6037	25409	11738	963	4178	7521	916	4903	3825	1587	451	1320	11791	2410	617	4300	14099	2640	990	16166	4128	17120
PF3D7_0717700	3906	15280	3667	1622	622	521	926	1290	1819	4060	336	535	156	2670	337	37	1254	1108	849	201	635	1174	4904	403	1660	86	325	1447	3720	154	1823	503	3567	889	160	736	13158	1157	269	114	6106	401	991
PF3D7_1342200	12	315	10	7	2	4	8	4	3	16	1	9	1	5	3	1	10	13	8	2	9	13	4	0	9	15	4	1	57	0	51	7	75	0	8	13	121	0	5	1	19	5	0
PF3D7_1400700	2	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
PF3D7_1322800	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1477400	10	3	3	0	14	11	4	8	3	8	0	2	0	0	12	0	10	5	3	1	10	49	23	0	37	3	1	73	59	4	138	249	3	0	4	374	2754	1	0	0	1	16	0
PF3D7_1106700	748	2479	380	332	102	47	139	90	331	702	55	130	20	421	56	4	202	229	73	22	220	170	877	59	297	13	57	151	515	29	483	71	412	60	39	82	1448	197	16	6	986	47	166
PF3D7_0621100	61	55	48	35	30	51	3	46	45	36	4	21	14	54	92	23	109	394	45	6	15	23	24	40	9	12	34	12	236	34	24	5	23	20	15	11	68	27	20	4	8	47	6
PF3D7_1040800	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
PF3D7_0909100	12	48	2	6	0	1	0	6	12	5	0	7	0	1	7	2	12	39	6	0	1	2	8	1	4	3	2	0	5	1	1	0	0	1	5	1	15	6	6	0	4	1	1
PF3D7_1342400	3656	4746	1389	1112	506	657	424	1168	1700	1720	183	271	450	2416	285	99	1422	2129	1360	133	290	577	2835	1195	500	296	863	273	1057	344	628	117	505	709	164	202	2153	1045	318	61	3551	415	1919
PF3D7_1028500	7034	12003	3526	1742	918	1976	718	2496	3292	4253	227	425	1118	4185	549	789	2387	3826	2786	197	570	871	5074	2805	744	1197	1686	740	1946	664	1002	211	1085	1361	302	374	5448	2004	161	84	5074	1266	3763
PF3D7_1419100	4788	6266	2780	1267	695	1396	480	1993	2511	2621	165	339	594	3451	307	52	1573	2087	1877	186	463	733	3494	1538	678	670	1338	558	1791	358	940	232	834	898	221	333	3822	1533	125	61	2897	665	1982
PF3D7_1448500	75	236	71	47	29	36	8	70	78	70	12	26	11	13	119	18	104	193	68	10	15	26	24	13	19	27	22	34	174	24	61	8	14	11	18	14	268	35	47	4	6	44	8
PF3D7_1125000	6	10	2	1	5	1	0	3	4	6	2	1	0	0	12	3	10	29	5	1	3	2	5	0	0	3	2	2	23	0	1	1	0	2	0	1	17	3	4	0	0	5	0
